coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
NbHeuresTravail.NA	-3.7498	-3.831	0.6152	2.6358	-6.3161	

eta2
  	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecues	0.0110709052138676	0.00430140764782716	0.00281728380233597	0.000171881830907451	0.000480837056612005
AideAdminFamille	0.00958034101435292	0.00538086937674397	0.0845276805451876	0.0075846913983466	0.00402323966634718
EmpruntFamille	1.03347989412725e-06	0.000304079294592226	0.00128024767127201	0.00193976220903536	0.00168383409245628
GardeFamille	0.167973766371343	0.175814681796902	0.00496244105703395	1.05618702170187e-05	0.00225660209887265
Caution	0.0279468908555766	0.0187413674618602	0.0359452170663416	0.00100270680432227	0.00139989824358135
MoyenEmploi	0.0736527010172164	0.0160551906505397	0.141148356282097	0.00439795686773744	0.0198473198632315
EntretienConjointPresent	0.09906431948458	0.0406970359920927	0.0189911585645632	0.00757040822243239	0.0290220724871064
EntretienEnfantsPresents	0.13565090676555	0.0428582437637718	0.109978777314332	0.00407399191412803	0.0020169482512588
EntretienParentsPresents	0.101775752537873	0.00654203108741516	0.0377045180618354	1.17962973614559e-06	0.0122689088974418
EntretienAutreFamillePresents	0.0182087322878605	0.00525487503629216	0.0656634055821695	0.00186491291084971	0.0030309180053332
PbArgentFamilleAv18Ans	0.0125421411994968	0.00700296690292901	0.00510109877591888	0.00238648575042096	0.00349643333768644
ContactFamilleEtranger	0.0526484511488798	0.0585029637676208	0.0393481911939933	0.00495884262611636	0.0139740030039632
FreqRencontreFamille	0.000675598617838296	0.0154812294801025	0.00322735354274719	0.00210501493842691	0.00101727915238445
Enfants	0.428888860689266	0.305966887393249	0.416306596964555	0.701374159067752	0.587058202803551
AppartenanceAsociationPaysOrigine	0.0296230847027254	0.0667975025186188	0.0228687159431013	0.0456634767929323	0.118726094683593
Pretbancaire	0.143517371735315	0.0351768808663116	0.0670768714989542	0.00278454944320589	0.000334043494082311
AppartenancAssociationSolidarite	0.0265555812623217	0.0740198750209225	0.000127717355867223	0.0117895574593154	0.0751592545000803
AideVersEtranger	0.412981420821864	0.454654360632787	0.058461109780343	0.000819099100152828	0.00288410681308184
AmisMemeOrigine	0.0159846972153333	0.0194516641769416	0.0405118905806051	0.027922966505582	0.051473604119751
AideaPersonneExterieure	0.399182372343308	0.453833051872475	0.0136491767548636	1.97567730224204e-05	0.00223317216094876
NbLogement	0.142605663841421	0.274789945836765	0.576554964518627	0.70508715739392	0.585833968767884
AideDevoirAsso	0.0162314126429989	0.0133015768727566	0.151314508102606	0.0310046483402765	0.0161065253665316
NbHeuresTravail	0.00117781135039712	0.000845077993998836	6.7103912721141e-05	0.0009493029268305	0.00211460805192324

