coord
   	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
Bac+2	3.2792	-6.1942	-20.3703	-32.3017	18.1352	
Bac_gen	-1.5599	5.6174	-28.915	27.2781	-23.6849	
Bac_techno_pro	-4.8615	9.6456	2.6285	-24.4392	7.1127	
BEPC	2.5764	5.0901	9.5518	11.3185	-3.3619	
CAP_BEP	-16.8208	7.7302	22.8065	-44.5153	-3.6447	
CEP	3.1106	-4.8405	25.6505	20.3729	9.5592	
DIPLO_PI.NA	5.4146	-5.8978	30.0738	45.6435	24.3703	
Sup_Bac+2	18.7721	-22.5252	-63.2279	2.2525	-7.6279	
EmpruntAmi_Non	55.364	68.3013	-3.6969	15.0375	-8.2621	
EmpruntAmi_Oui	-55.364	-68.3013	3.6969	-15.0375	8.2621	

eta2
  	Dim 1	Dim 2	Dim 3	Dim 4	Dim 5	
AidesRecues	0.00102075840315672	0.0163689102083094	0.0190787629271628	0.00536387167651075	0.0125058982620046
AideAdminFamille	0.00145976612937625	0.0200752974690362	0.061409373373523	0.115897549252035	0.0221838084914248
EmpruntFamille	0.150909464243723	0.538428035615899	4.15582738974236e-05	0.00743912326454524	0.000196702147515767
GardeFamille	0.00170166386917541	0.00585144257360699	0.00026835790661198	0.238354217617093	0.0725840818390566
PbArgentFamilleAv18Ans	0.0251816859725078	0.00493707283030621	0.0749521869038595	0.0064521976320356	0.00933397055250675
ContactFamilleEtranger	0.0971986203721057	0.0247712676946086	0.0489839047216235	0.148687558056354	0.0314972749237442
FreqRencontreFamille	0.00612472796032422	0.00918466313481761	0.0351518002215088	0.149408413608975	0.16872981430227
AppartenanceAsociationPaysOrigine	0.0931147823227871	0.0154648834258822	0.35519903483039	0.0292827578299289	0.294587206478183
Pretbancaire	0.0174520009911907	0.00288315457515755	0.0083163609629532	0.222377006522621	0.0249909108902858
AppartenancAssociationSolidarite	0.090008137476451	0.020301407777539	0.188297501739073	0.011619109829958	0.116832854682433
AideVersEtranger	0.656735651659956	0.211837308311018	0.0745007610420599	0.166829272366686	0.103469793683916
AmisMemeOrigine	0.00916605267798205	0.0011807888805394	0.223145838612075	0.0349199139124285	0.306048942814415
AideaPersonneExterieure	0.649064592390723	0.210492049896625	0.0699330417796428	0.0197360617625653	0.0203896529161152
Emprunt	0.262594302655904	0.687056664544872	0.000425642530122464	0.000284701278669968	0.00170382119065129
DIPLO_PI	0.0279450424541403	0.0343800738719986	0.384202660534109	0.33504679522321	0.0726986800568836
EmpruntAmi	0.140862765228588	0.214387566264443	0.000628097143274591	0.0103918054718102	0.00313708474313919

